U1/V,IA/nA
40.09,0.46
40.12,0.47
40.14,0.48
40.17,0.49
40.19,0.51
40.21,0.51
40.24,0.53
40.26,0.54
40.29,0.55
40.31,0.56
40.34,0.57
40.36,0.58
40.39,0.59
40.41,0.6
40.43,0.61
40.46,0.63
40.48,0.63
40.51,0.64
40.53,0.65
40.56,0.66
40.58,0.67
40.61,0.68
40.63,0.69
40.65,0.7
40.68,0.7
40.7,0.72
40.73,0.73
40.75,0.74
40.78,0.75
40.8,0.75
40.83,0.77
40.85,0.78
40.87,0.78
40.9,0.79
40.92,0.81
40.95,0.84
40.97,0.84
41,0.85
41.02,0.87
41.05,0.88
41.07,0.88
41.09,0.9
41.12,0.91
41.14,0.92
41.17,0.93
41.19,0.94
41.22,0.97
41.24,0.98
41.26,0.98
41.29,1
41.31,1.01
41.34,1.02
41.36,1.02
41.39,1.03
41.41,1.06
41.44,1.07
41.46,1.07
41.48,1.09
41.51,1.11
41.53,1.12
41.56,1.13
41.58,1.14
41.61,1.14
41.63,1.15
41.66,1.16
41.68,1.17
41.7,1.19
41.73,1.2
41.75,1.21
41.78,1.22
41.8,1.24
41.83,1.25
41.85,1.26
41.88,1.27
41.9,1.29
41.92,1.3
41.95,1.31
41.97,1.32
42,1.34
42.02,1.35
42.05,1.36
42.07,1.37
42.1,1.38
42.12,1.39
42.14,1.4
42.17,1.42
42.19,1.43
42.22,1.44
42.24,1.47
42.27,1.48
42.29,1.49
42.31,1.5
42.34,1.51
42.36,1.52
42.39,1.53
42.41,1.54
42.44,1.56
42.46,1.58
42.49,1.59
42.51,1.59
42.53,1.6
42.56,1.62
42.58,1.62
42.61,1.63
42.63,1.64
42.66,1.66
42.68,1.67
42.71,1.67
42.73,1.68
42.75,1.7
